Item Name,Category,Price
"Peking Soup with Chicken, Sweet, Sour and Spicy",Soup,3.00
Wonton Soup (dumplings filled with schrimp),Soup,4.00
Tom Kha Gung Soup (prawn soup with mushrooms and coconut milk,Soup,5.00
Tom Kha Gai Soup (chicken fillet soup with mushrooms and coconut milk,Soup,5.00
"Tantanmen (traditional Japanese noodle soup with sesame paste and soy milk in a uniquely strong, spicy flavor with mushrooms, soybeans, and spring onions)",Soup,16.90
"Miso (Japanese ramen noodle soup with soybean paste, sesame paste, chili oil and porcini mushrooms, soybeans and spring onions)",Soup,16.90
"Shoyu (traditional Japanese noodle soup with a soy sauce base, which gives it a spicy flavor, with button mushrooms, soybeans and spring onions)",Soup,16.90
Fried Schrimp (4 pieces with sweet and sour sauce),Appetizer,8.00
"Mixed Salad (lollo rosso, lollo bianco, frisee, eichblatt)",Extras,7.90
"Mixed Salad with Chicken Fillet (lollo rosso, lollo bianco, frisee, oak leaf and stone mushrooms)",Extras,8.90
"Mixed Salad with Salmon (lollo rosso, lollo bianco, frisee, eichblatt)",Extras,10.90
"Mixed Salad with King Prawns (lollo rosso, lollo bianco, frisee, eichblatt)",Extras,10.90
"Pho (delicate soup with rice noodles, tender beef fillet or chicken fillet)",Main_Dish,14.90
Bun Bo (fried beef rump steak with onions),Main_Dish,14.90
"Ca Kho To (braised salmon fillet with onions, peppers, porcini mashrooms and rice as a side dish)",Main_Dish,18.90
"Cha Banh Da (vietnamese spring rolls filled with crab, pork and vegetables, served with rice noodles, fish sauce and salad)",Main_Dish,14.90
"Bo Xao Hanh (fried beef rump steak with onions, peppers, and leeks, seasoned and fried, served with rice)",Main_Dish,14.90
"Bun Cha Hanoi (vietnamese grilled pork neck, rice noodles as a side dish, with fish sauce and salad)",Main_Dish,14.90
"Cha Ca La Vong (fried salmon fillet with spring onions and dill, served with rice noodles, salad, and a special fish sauce)",Main_Dish,18.90
"Fried Noodles (with bean sprouts, leeks, carrots and eggs, dry fried)",Main_Dish,16.90
"Duck Delicacies (crispy duck, beef fillet, chicken, king prawns with seasonal vegetables in hoisin sauce, slightly spicy)",Main_Dish,16.90
"Pad Thai (fried rice noodles with beef, king prawns, spring onions, celery and coriander)",Main_Dish,14.90
"Mie Hargow (Japanese noodles in a spicy clear beef and chicken broth with 5 HarGow, porcini mushrooms, soybeans, and spring onions)",Main_Dish,14.90
Baked Bananas with Honey,Dessert,4.00
Baked Sesame Balls (3 pieces with honey),Dessert,3.00
